object1,object2,type1,type2,tca,miss_distance_km,relative_velocity_ms,pc_monte_carlo,pc_alfano,pc_maximum,combined_radius_m,position_uncertainty_km,tle_age_days_obj1,tle_age_days_obj2,encounter_plane_miss_distance_km,covariance_eigenvalues_km2,max_position_sigma_km,min_position_sigma_km,covariance_condition_number,monte_carlo_samples_used,physics_risk_category,physics_risk_score,physics_collision_probability,ml_risk_category,ml_risk_score,ml_collision_probability,ml_collision_probability_lower,ml_collision_probability_upper,ml_confidence,ml_uncertainty,ml_available,category_agreement,probability_ratio,combined_risk_score
SL-8 DEB *,COSMOS 1160,DEBRIS,SATELLITE,2025-11-08 06:19:17.957529+00:00,25.568001933200232,7940.702576781757,0.0,9.269771326165043e-08,9.269771326165043e-08,11,6.005791074771417,2.8892322409722224,1.6880255609722223,13.279241007502371,"[71.48174702654376, 3.2462287841160693]",8.45468787280428,1.8017293870379285,4.692540363513702,50000,LOW,0.0,9.269771326165043e-08,LOW,0.0,6.943629920488439e-08,9.91683694472784e-10,4.861832128674319e-06,57.46454137969799,MEDIUM,True,True,0.7490616193399734,8.3393147638944e-08
SL-8 R/B,COSMOS 468,ROCKET_BODY,SATELLITE,2025-11-08 22:24:39.775710+00:00,16.181458124278375,804.9299569983604,0.0,4.311257426791064e-08,4.311257426791064e-08,15,11.226495591354972,1.6819525109722222,1.6853679809722222,15.563551037368446,"[365.73047077034215, 7.551199535977943]",19.12408091308814,2.7479446020576805,6.959412827597722,50000,LOW,0.0,4.311257426791064e-08,LOW,0.0,3.7033987452165495e-08,2.2593790157614888e-09,6.070323823667553e-07,63.79000095339963,MEDIUM,True,True,0.8590066374146085,4.068113954161258e-08
COSMOS 944,COSMOS 1432,SATELLITE,SATELLITE,2025-11-08 02:57:28.866620+00:00,29.639398827115702,167.7416133895544,4.09113568235722e-08,8.009086660961777e-09,4.09113568235722e-08,20,5.058705999222668,1.663304950972222,1.6632746809722223,29.584568933629477,"[72.63074048915664, 2.530972839784132]",8.522367070782426,1.59090315223276,5.356936441304848,50000,LOW,0.0,4.09113568235722e-08,LOW,0.0,3.7786124737396826e-08,1.470620972496634e-09,9.708764184466846e-07,62.07750566927997,MEDIUM,True,True,0.9236096690791079,3.966126398910205e-08
SL-8 R/B,SL-8 R/B,ROCKET_BODY,ROCKET_BODY,2025-11-08 21:38:39.775710+00:00,10.797908215026593,131.12258741940403,0.0,3.8291957522394186e-10,3.8291957522394186e-10,10,10.95388526437535,1.7034663609722223,1.7003549309722223,10.771431552870382,"[7.120718314463943, 348.36132683766084]",18.664440169414696,2.668467409293946,6.994441867421251,50000,LOW,0.0,3.8291957522394186e-10,LOW,0.0,3.4813823188382354e-08,2.9702645263754775e-10,4.080452344326779e-06,52.17145045739449,HIGH,True,True,90.91680196297689,1.4155281020487307e-08
DELTA 1 DEB,COSMOS 1435,DEBRIS,SATELLITE,2025-11-08 17:13:50.684801+00:00,46.121260317824756,3445.525830435556,3.0013182684592943e-09,3.8035077439727254e-10,3.0013182684592943e-09,11,9.428854099477586,2.7733254509722225,1.729397490972222,41.90572260178722,"[242.79730016645658, 5.969394272124207]",15.581954311525129,2.4432343874716986,6.377592911848955,50000,LOW,0.0,3.0013182684592943e-09,LOW,0.0,6.374931653078275e-09,5.416247991843171e-10,7.503303697065287e-08,98.94562276726255,MEDIUM,True,True,2.124043864348582,4.350763622306887e-09
COSMOS 504,COSMOS 508,SATELLITE,SATELLITE,2025-11-08 19:17:45.230256+00:00,25.755180262139678,106.44845777323866,1.0743712602986872e-09,2.5479348891181986e-10,1.0743712602986872e-09,20,10.132900004378923,1.8009202509722222,1.6847010509722222,25.607348880048555,"[276.39207785973474, 4.153957781009478]",16.625043694972195,2.038126046398867,8.157024303941714,50000,LOW,0.0,1.0743712602986872e-09,LOW,0.0,5.783180102479447e-09,3.2773406944714226e-10,1.0204972633493138e-07,98.06052064632568,MEDIUM,True,True,5.3828507110955846,2.9578947971709913e-09
OPS 4467 B,OPS 4078 (DMSP 4B F2),SATELLITE,SATELLITE,2025-11-07 23:44:34.321165+00:00,31.876402436188254,178.36379691454394,2.6603543961374935e-10,2.0825017107138414e-10,2.6603543961374935e-10,20,4.222692931604648,1.693144110972222,1.7579528309722223,31.61121126391568,"[50.080778440163826, 2.001923896938875]",7.076777405017331,1.4148935991582106,5.001632214060232,50000,LOW,0.0,2.6603543961374935e-10,LOW,0.0,6.88200461896941e-09,1.1306229223672737e-10,4.1890171018601673e-07,78.11575744298378,MEDIUM,True,True,25.86875127975894,2.912423111356014e-09
COSMOS 684,COSMOS 1393,SATELLITE,SATELLITE,2025-11-08 15:25:56.139347+00:00,41.88876705822363,52.77443564357575,1.7130587840424832e-10,1.0655393606907113e-10,1.7130587840424832e-10,20,8.829690843304466,1.7107016009722222,1.7272843609722222,41.88764364691274,"[218.99307320047043, 2.8655774059874046]",14.798414550230387,1.6928016440172204,8.741966078856104,50000,LOW,0.0,1.7130587840424832e-10,LOW,0.0,4.8350826674473044e-09,1.415309030238341e-10,1.651796455867485e-07,98.06052064632568,MEDIUM,True,True,28.224849681091833,2.036816594021471e-09
THORAD DELTA 1 R/B,INTASAT,ROCKET_BODY,SATELLITE,2025-11-08 12:52:01.593892+00:00,37.12641184267574,4612.833728596266,1.1106520657541292e-11,1.7793299121928652e-12,1.1106520657541292e-11,15,7.99821765007797,1.8389020609722222,2.4317098009722224,36.76280258104981,"[165.5530317853611, 4.776949395797363]",12.866741304050576,2.185623342618156,5.886989333046525,50000,LOW,0.0,1.1106520657541292e-11,LOW,0.0,4.795344459993627e-09,2.027045790108474e-10,1.1344257047474474e-07,96.9775224766646,MEDIUM,True,True,431.75937882379066,1.924801696391976e-09
THOR ABLESTAR DEB,THOR ABLESTAR DEB,DEBRIS,DEBRIS,2025-11-08 06:19:17.957529+00:00,44.35283916995591,5272.45064020561,0.0,1.3334289136718508e-10,1.3334289136718508e-10,2,6.005791074771415,1.8528905309722221,1.9448310309722223,20.228848600903195,"[90.22104971860293, 3.2638721528734997]",9.498476178766936,1.8066189838683473,5.257597901705163,50000,LOW,0.0,1.3334289136718508e-10,LOW,0.0,4.477968061122245e-09,1.9040907364910718e-10,1.0531114705900961e-07,91.64870082177886,MEDIUM,True,True,33.58235309890878,1.871192959269209e-09
COSMOS 528,COSMOS 1228,SATELLITE,SATELLITE,2025-11-08 06:19:17.957529+00:00,35.40308223519682,13159.474884672098,2.4452069123997743e-12,1.0457070578469878e-12,2.4452069123997743e-12,20,6.005791074771417,2.1773199109722223,1.7783422109722222,15.968307828095808,"[17.33956898714847, 3.2418535264610644]",4.164080809392209,1.8005147948464806,2.312716797057619,50000,LOW,0.0,2.4452069123997743e-12,LOW,0.0,4.193006212425289e-09,1.3063229848342336e-10,1.3458617280371907e-07,89.82675152446454,MEDIUM,True,True,1714.785849476513,1.6786696091175555e-09
COSMOS 397 DEB,COSMOS 1171,DEBRIS,SATELLITE,2025-11-08 23:46:34.321165+00:00,67.00758781271631,4774.527816615336,0.0,1.8964728665499437e-10,1.8964728665499437e-10,11,11.717428288067213,1.7353923909722222,1.707317910972222,16.3037850868476,"[358.7989667736536, 8.391215704222844]",18.941989514664336,2.896759517844525,6.5390272813392,50000,LOW,0.0,1.8964728665499437e-10,LOW,0.0,3.8596687489828604e-09,2.5710035132085496e-10,5.794252234717399e-08,98.94562276726255,MEDIUM,True,True,20.35182689433546,1.6576558715861408e-09
OPS 7613 (P/L 1),METEOR 1-22,SATELLITE,SATELLITE,2025-11-08 08:30:12.502983+00:00,60.27438577874856,12512.42375082985,1.686256080052527e-12,2.276063934876203e-13,1.686256080052527e-12,20,6.648620887732309,1.874664280972222,1.7733546209722222,34.82249192838667,"[37.30898647024531, 3.719546608621855]",6.108108256264399,1.928612612377575,3.16709961195078,50000,LOW,0.0,1.686256080052527e-12,LOW,0.0,4.0852779845625805e-09,1.3900188993291798e-10,1.2006668556237626e-07,90.96733780878267,MEDIUM,True,True,2422.691329560884,1.6351229474730637e-09
THOR ABLESTAR DEB,COSMOS 1229,DEBRIS,SATELLITE,2025-11-08 17:13:50.684801+00:00,63.46106890669768,12274.113417356115,9.426845964484884e-12,7.664416373293697e-13,9.426845964484884e-12,11,9.428854099477588,2.1092811509722225,1.795533480972222,41.23444929015578,"[65.36789839061518, 5.968150094917302]",8.085041644334009,2.442979757369533,3.3095000562098553,50000,LOW,0.0,9.426845964484884e-12,LOW,0.0,3.727677714566881e-09,1.4122390793132776e-10,9.839397129865199e-08,94.76631620282302,MEDIUM,True,True,395.43212317361485,1.4967271934054434e-09
COSMOS 1041,COSMOS 1391,SATELLITE,SATELLITE,2025-11-08 17:12:50.684801+00:00,76.3562905523338,177.1388998759024,2.5518844636062065e-11,3.65285997233563e-12,2.5518844636062065e-11,20,9.423241413837438,1.883227470972222,1.8654265609722223,76.31601109696811,"[256.3354720284827, 5.378605372301278]",16.010480068645123,2.3191820481155156,6.903502931843866,50000,LOW,0.0,2.5518844636062065e-11,LOW,0.0,3.702562478056309e-09,2.6409900384963854e-10,5.1908446090601345e-08,98.94562276726255,MEDIUM,True,True,145.09130530243587,1.496336298004161e-09
